Timestamp,Quat_W,Quat_X,Quat_Y,Quat_Z
1651139194138,0.471159,0.233253,0.699468,0.484091
1651139194146,0.469039,0.229306,0.701195,0.485536
1651139194157,0.466734,0.226685,0.703679,0.48539498
1651139194166,0.464031,0.222316,0.706037,0.486581
1651139194176,0.461599,0.218732,0.709191,0.485932
1651139194188,0.4592,0.213861,0.711489,0.487012
1651139194196,0.458601,0.211098,0.71303,0.486528
1651139194207,0.455832,0.205428,0.715789,0.487505
1651139194216,0.457147,0.200825,0.717383,0.485846
1651139194227,0.455285,0.195197,0.719115,0.487325
1651139194238,0.457719,0.191861,0.71879,0.486849
1651139194246,0.455472,0.186699,0.719881,0.489344
1651139194256,0.45611,0.18413,0.719341,0.490517
1651139194266,0.454709,0.178879,0.719562,0.493427
1651139194277,0.457339,0.175735,0.71803397,0.494352
1651139194287,0.455349,0.170589,0.717971,0.49807
1651139194296,0.45494398,0.166989,0.717444,0.500412
1651139194306,0.45214,0.161502,0.717784,0.504254
1651139194316,0.44725,0.158006,0.719866,0.506747
1651139194326,0.44524398,0.153812,0.720146,0.509399
1651139194338,0.440483,0.150105,0.723697,0.509612
1651139194346,0.438972,0.14693,0.724093,0.511276
1651139194356,0.431296,0.145066,0.728654,0.511861
1651139194366,0.42981,0.142023,0.729807,0.512321
1651139194377,0.41932198,0.14107,0.73675,0.511338
1651139194388,0.418872,0.139128,0.738632,0.50952
1651139194397,0.418343,0.13654199,0.742393,0.50517
1651139194406,0.417617,0.134482,0.744142,0.503747
1651139194416,0.419793,0.132854,0.744708,0.501529
1651139194426,0.418014,0.129657,0.746656,0.500955
1651139194438,0.419252,0.129041,0.747083,0.49943998
1651139194446,0.41929,0.125814,0.748279,0.498442
1651139194456,0.4279,0.127291,0.74356,0.497811
1651139194466,0.425945,0.123083,0.744979,0.498423
1651139194476,0.426968,0.124252,0.743284,0.499787
1651139194487,0.420311,0.117844,0.747976,0.499981
1651139194496,0.409436,0.112687,0.755602,0.498726
1651139194506,0.400565,0.105123,0.762354,0.497305
1651139194517,0.38614,0.097867,0.772924,0.493867
1651139194526,0.377037,0.090423,0.780457,0.490461
1651139194538,0.363767,0.084185,0.790932,0.48478
1651139194547,0.356382,0.078938,0.798169,0.479254
1651139194556,0.346514,0.076191,0.807294,0.47159
1651139194566,0.339832,0.072388,0.815067,0.463614
1651139194576,0.335342,0.068626,0.822692,0.453886
1651139194588,0.325699,0.064962,0.83146,0.44539
1651139194597,0.320788,0.058864,0.83867097,0.436187
1651139194607,0.310056,0.05459,0.846138,0.43004
1651139194616,0.305086,0.048585,0.851328,0.42403
1651139194626,0.298226,0.044661,0.85559,0.42075
1651139194638,0.293337,0.042124,0.85981697,0.415803
1651139194647,0.293071,0.041314,0.861653,0.412256
1651139194657,0.295277,0.043829,0.863046,0.40748
1651139194666,0.295653,0.046515,0.86436,0.404112
